Array Random Values
64,0,0
128,0,0
256,0,0
512,0,0
1024,0,0
2048,1,0
4096,9,2
8192,29,11
16384,109,46
32768,414,183
65536,1691,708
131072,6331,2836
Array Sorted Values
64,0,0
128,0,0
256,0,0
512,0,0
1024,0,0
2048,1,0
4096,8,3
8192,31,9
16384,116,39
32768,439,157
65536,1790,591
131072,6795,2443
Array Reversed Values
64,0,0
128,0,0
256,0,0
512,0,0
1024,0,0
2048,1,1
4096,8,5
8192,33,22
16384,120,81
32768,466,300
65536,1962,1334
131072,7517,5102
ArrayList Random Values
64,0,0
128,2,1
256,0,1
512,1,1
1024,2,0
2048,5,3
4096,21,12
8192,94,54
16384,315,160
32768,1527,746
65536,6312,3235
131072,38782,22577
ArrayList Sorted Values
64,0,0
128,0,0
256,0,0
512,0,0
1024,1,0
2048,5,0
4096,21,0
8192,114,0
16384,327,0
32768,1281,0
65536,5258,1
131072,21742,3
ArrayList Reversed Values
64,0,0
128,0,0
256,0,0
512,0,0
1024,1,1
2048,7,9
4096,31,29
8192,109,125
16384,348,352
32768,1346,1447
65536,5636,5614
131072,22525,21125
